Local authority,Library name,Month,Type,Loans
Devon,~HQ ADULT READER DEVELOPMENT,2018-03,Children Audiobook,1
Devon,~HQ ADULT READER DEVELOPMENT,2018-03,Misc,1
Devon,~HQ ADULT READER DEVELOPMENT,2018-04,Adult Audiobook,1
Devon,~HQ ADULT READER DEVELOPMENT,2018-04,Adult Fiction,2186
Devon,~HQ ADULT READER DEVELOPMENT,2018-04,Adult Non Fiction,208
Devon,~HQ ADULT READER DEVELOPMENT,2018-04,Children and Teen Fiction,23
Devon,~HQ ADULT READER DEVELOPMENT,2018-04,Misc,401
Devon,~HQ ADULT READER DEVELOPMENT,2018-05,Adult Audiobook,4
Devon,~HQ ADULT READER DEVELOPMENT,2018-05,Adult Fiction,1903
Devon,~HQ ADULT READER DEVELOPMENT,2018-05,Adult Non Fiction,276
Devon,~HQ ADULT READER DEVELOPMENT,2018-05,Children and Teen Fiction,2
Devon,~HQ ADULT READER DEVELOPMENT,2018-05,Children and Teen Non-Fiction,0
Devon,~HQ ADULT READER DEVELOPMENT,2018-05,Children Audiobook,1
Devon,~HQ ADULT READER DEVELOPMENT,2018-05,Misc,269
Devon,~HQ ADULT READER DEVELOPMENT,2018-05,Music CD,0
Devon,~HQ ADULT READER DEVELOPMENT,2018-06,Adult Audiobook,3
Devon,~HQ ADULT READER DEVELOPMENT,2018-06,Adult Fiction,1648
Devon,~HQ ADULT READER DEVELOPMENT,2018-06,Adult Non Fiction,176
Devon,~HQ ADULT READER DEVELOPMENT,2018-06,Children and Teen Fiction,9
Devon,~HQ ADULT READER DEVELOPMENT,2018-06,DVD,1
Devon,~HQ ADULT READER DEVELOPMENT,2018-06,Misc,148
Devon,~HQ ADULT READER DEVELOPMENT,2018-07,Adult Audiobook,5
Devon,~HQ ADULT READER DEVELOPMENT,2018-07,Adult Fiction,2381
Devon,~HQ ADULT READER DEVELOPMENT,2018-07,Adult Non Fiction,221
Devon,~HQ ADULT READER DEVELOPMENT,2018-07,Children and Teen Fiction,9
Devon,~HQ ADULT READER DEVELOPMENT,2018-07,DVD,3
Devon,~HQ ADULT READER DEVELOPMENT,2018-07,Misc,254
Devon,~HQ ADULT READER DEVELOPMENT,2018-07,Music CD,5
Devon,~HQ ADULT READER DEVELOPMENT,2018-08,Adult Audiobook,4
Devon,~HQ ADULT READER DEVELOPMENT,2018-08,Adult Fiction,1945
Devon,~HQ ADULT READER DEVELOPMENT,2018-08,Adult Non Fiction,242
Devon,~HQ ADULT READER DEVELOPMENT,2018-08,Children and Teen Fiction,0
Devon,~HQ ADULT READER DEVELOPMENT,2018-08,Children and Teen Non-Fiction,0
Devon,~HQ ADULT READER DEVELOPMENT,2018-08,DVD,0
Devon,~HQ ADULT READER DEVELOPMENT,2018-08,Misc,120
Devon,~HQ ADULT READER DEVELOPMENT,2018-08,Music CD,0
Devon,~HQ ADULT READER DEVELOPMENT,2018-09,Adult Audiobook,4
Devon,~HQ ADULT READER DEVELOPMENT,2018-09,Adult Fiction,2469
Devon,~HQ ADULT READER DEVELOPMENT,2018-09,Adult Non Fiction,283
Devon,~HQ ADULT READER DEVELOPMENT,2018-09,Children and Teen Fiction,13
Devon,~HQ ADULT READER DEVELOPMENT,2018-09,Misc,140
Devon,~HQ ADULT READER DEVELOPMENT,2018-09,Music CD,2
Devon,~HQ ADULT READER DEVELOPMENT,2018-09,Sheet Music,0
Devon,~HQ ADULT READER DEVELOPMENT,2018-10,Adult Audiobook,3
Devon,~HQ ADULT READER DEVELOPMENT,2018-10,Adult Fiction,2757
Devon,~HQ ADULT READER DEVELOPMENT,2018-10,Adult Non Fiction,408
Devon,~HQ ADULT READER DEVELOPMENT,2018-10,Children and Teen Fiction,3
Devon,~HQ ADULT READER DEVELOPMENT,2018-10,Children Audiobook,1
Devon,~HQ ADULT READER DEVELOPMENT,2018-10,Misc,144
Devon,~HQ ADULT READER DEVELOPMENT,2018-11,Adult Audiobook,7
Devon,~HQ ADULT READER DEVELOPMENT,2018-11,Adult Fiction,2155
Devon,~HQ ADULT READER DEVELOPMENT,2018-11,Adult Non Fiction,349
Devon,~HQ ADULT READER DEVELOPMENT,2018-11,Children and Teen Fiction,2
Devon,~HQ ADULT READER DEVELOPMENT,2018-11,Children and Teen Non-Fiction,1
Devon,~HQ ADULT READER DEVELOPMENT,2018-11,DVD,0
Devon,~HQ ADULT READER DEVELOPMENT,2018-11,Misc,84
Devon,~HQ ADULT READER DEVELOPMENT,2018-11,Music CD,0
Devon,~HQ ADULT READER DEVELOPMENT,2018-12,Adult Audiobook,3
Devon,~HQ ADULT READER DEVELOPMENT,2018-12,Adult Fiction,1335
Devon,~HQ ADULT READER DEVELOPMENT,2018-12,Adult Non Fiction,188
Devon,~HQ ADULT READER DEVELOPMENT,2018-12,Children and Teen Fiction,3
Devon,~HQ ADULT READER DEVELOPMENT,2018-12,DVD,0
Devon,~HQ ADULT READER DEVELOPMENT,2018-12,Misc,8
Devon,~HQ ADULT READER DEVELOPMENT,2019-01,Adult Audiobook,4
Devon,~HQ ADULT READER DEVELOPMENT,2019-01,Adult Fiction,3279
Devon,~HQ ADULT READER DEVELOPMENT,2019-01,Adult Non Fiction,428
Devon,~HQ ADULT READER DEVELOPMENT,2019-01,Children and Teen Fiction,19
Devon,~HQ ADULT READER DEVELOPMENT,2019-01,Children Audiobook,1
Devon,~HQ ADULT READER DEVELOPMENT,2019-01,Misc,15
Devon,~HQ ADULT READER DEVELOPMENT,2019-01,Music CD,2
Devon,~HQ ADULT READER DEVELOPMENT,2019-02,Adult Audiobook,6
Devon,~HQ ADULT READER DEVELOPMENT,2019-02,Adult Fiction,2334
Devon,~HQ ADULT READER DEVELOPMENT,2019-02,Adult Non Fiction,291
Devon,~HQ ADULT READER DEVELOPMENT,2019-02,Children and Teen Fiction,0
Devon,~HQ ADULT READER DEVELOPMENT,2019-02,Children Audiobook,1
Devon,~HQ ADULT READER DEVELOPMENT,2019-02,DVD,0
Devon,~HQ ADULT READER DEVELOPMENT,2019-02,Misc,5
Devon,~HQ ADULT READER DEVELOPMENT,2019-02,Music CD,0
Devon,~HQ ADULT READER DEVELOPMENT,2019-03,Adult Audiobook,5
Devon,~HQ ADULT READER DEVELOPMENT,2019-03,Adult Fiction,2539
Devon,~HQ ADULT READER DEVELOPMENT,2019-03,Adult Non Fiction,314
Devon,~HQ ADULT READER DEVELOPMENT,2019-03,Children and Teen Fiction,10
Devon,~HQ ADULT READER DEVELOPMENT,2019-03,Children and Teen Non-Fiction,0
Devon,~HQ ADULT READER DEVELOPMENT,2019-03,Misc,3
Devon,~HQ ADULT READER DEVELOPMENT,2019-03,Music CD,1
Devon,~HQ ADULT READER DEVELOPMENT,2019-04,Adult Audiobook,5
Devon,~HQ ADULT READER DEVELOPMENT,2019-04,Adult Fiction,2413
Devon,~HQ ADULT READER DEVELOPMENT,2019-04,Adult Non Fiction,268
Devon,~HQ ADULT READER DEVELOPMENT,2019-04,Children and Teen Fiction,19
Devon,~HQ ADULT READER DEVELOPMENT,2019-04,Misc,1
Devon,~HQ ADULT READER DEVELOPMENT,2019-05,Adult Audiobook,8
Devon,~HQ ADULT READER DEVELOPMENT,2019-05,Adult Fiction,2670
Devon,~HQ ADULT READER DEVELOPMENT,2019-05,Adult Non Fiction,340
Devon,~HQ ADULT READER DEVELOPMENT,2019-05,Children and Teen Fiction,3
Devon,~HQ ADULT READER DEVELOPMENT,2019-05,Misc,7
Devon,~HQ ADULT READER DEVELOPMENT,2019-05,Music CD,1
Devon,~HQ ADULT READER DEVELOPMENT,2019-06,Adult Audiobook,5
Devon,~HQ ADULT READER DEVELOPMENT,2019-06,Adult Fiction,2618
Devon,~HQ ADULT READER DEVELOPMENT,2019-06,Adult Non Fiction,306
Devon,~HQ ADULT READER DEVELOPMENT,2019-06,Children and Teen Fiction,10
Devon,~HQ ADULT READER DEVELOPMENT,2019-06,Children and Teen Non-Fiction,1
Devon,~HQ ADULT READER DEVELOPMENT,2019-06,Music CD,1
Devon,~HQ ADULT READER DEVELOPMENT,2019-07,Adult Audiobook,9
Devon,~HQ ADULT READER DEVELOPMENT,2019-07,Adult Fiction,3130
Devon,~HQ ADULT READER DEVELOPMENT,2019-07,Adult Non Fiction,365
Devon,~HQ ADULT READER DEVELOPMENT,2019-07,Children and Teen Fiction,14
Devon,~HQ ADULT READER DEVELOPMENT,2019-07,Children Audiobook,1
Devon,~HQ ADULT READER DEVELOPMENT,2019-07,Misc,1
Devon,~HQ ADULT READER DEVELOPMENT,2019-07,Music CD,1
Devon,~HQ ADULT READER DEVELOPMENT,2019-08,Adult Audiobook,13
Devon,~HQ ADULT READER DEVELOPMENT,2019-08,Adult Fiction,2337
Devon,~HQ ADULT READER DEVELOPMENT,2019-08,Adult Non Fiction,321
